title,bio,org_description,position_org
Прохоров Андрей Юрьевич,,,ментор BigData Team
Кузнецов Илья Васильевич,"<p>Родился и вырос в Красноярске. Учился там же, жил и работал сначала в Питере, потом в Москве. Сейчас занимаюсь администрированием linux серверов, devops`ом, преподаю  Mail.ru&nbsp;<br>GeekBrains<br><br></p>","Mail.Ru Group — российская технологическая компания. Среди её активов социальные сети «ВКонтакте» и «Одноклассники», портфолио онлайн-игр, куда входят такие проекты как Warface, Armored Warfare, Skyforge, Аллоды Онлайн и Perfect World, картографический сервис MAPS.ME, мессенджер ICQ, мобильный сервис бесплатных объявлений «Юла», райдшеринговый сервис BeepCar и платформа для доставки еды Delivery Club.
В мае 2017 года Forbes поставил Mail.Ru Group на 97 место в рейтинге ста инновационных компаний мира
","DevOps IT engineer, ведущий преподаватель  GeekBrains Mail.ru"
Широков Валентин Владимирович,"<p>Закончил Иркутский государственный университет по направлению «Прикладная математика». В настоящее время является методистом «Лаборатории развития научно-инженерного творчества» Иркутского лицея №2. Работает также индивидуальным предпринимателем в области разработки нестандартного программного обеспечения.</p>
<p>Ключевые проекты: Огранизация и разработка направления Интеллектуальные энергетические системы Олимпиады НТИ в 2016 году.</p>
<p>Огранизация и разработка направления Интеллектуальные энергетические системы Олимпиады НТИ в 2017 году.</p>
<p>Огранизация и разработка направления Интеллектуальные энергетические системы Олимпиады НТИ в 2018 году.</p>
<p>Участие в разработке стенда СтИЭС-1.1, широко используемого в направлении ЭнерджиКвантум Кванториумов.</p>
<p>Участие в организации Тихоокеанской проектной школы в 2015 году.</p>
<p>Участие в организации проектной смены «Большие вызовы» в Сириусе в 201</p>","Компания «Полюс-НТ» является ведущим разработчиком образовательных продуктов и программ для научно-технического творчества детей и молодежи. Область деятельности: современное естествознание и нанотехнологии; интеллектуальная энергетика и технологии беспроводной связи. Сотрудники компании не только придумывают и разрабатывает новые решения и проводят мероприятия, но поддерживают образовательный процесс как в своем структурном подразделении (ЦМИТ «STEM-Байкал»), так и в организациях клиентов. Новое направление деятельности компании с 2017 года – интеллектуальные настольные игры. Компания создана в 2013 году, ОКВЭД: научные исследования и разработки.","Методист ЛАРНИТ МБОУ Лицей №2 г.Иркутска; эксперт ЦМИТ ""STEM-Байкал"""""
Чекан Михаил Андреевич,"<p>Родился в Иркутске 17 августа 1997. С 2004 по 2015 год учился в МБОУ г. Иркутска СОШ №21. Закончил с золотой медалью, в период обучения представлял школу на олимпиадах вплоть до регионального уровня (победитель по ОБЖ в 2013 году, призёр по информатике в 2015 году). C 2012 участвую в творческом объединении ""Юный программист"" МБОУ г. Иркутска ДОД ""ЦДТТ"", в школьное время результативно принял участие в ряде конференций различного уровня (в т.ч. ""Шаг в будущее, Сибирь!"" (г. Усолье-Сибирское), ""Юные исследователи - науке и технике"" (ТГУ, г. Томск)). В течение 2014-2015 уч. года проходил обучение в ИТ-школе Samsung, в рамках которой создал приложение ""GuezzDaChezz"", занявшее 3 место на Всероссийском конкурсе проектов ИТ-школы. С 2015 года обучаюсь в Институте высоких технологий ИРНИТУ по специальности ""Вычислительные машины и сети"" (бакалавр). За время обучения написал ряд научных статей, зарегистрировал одну программу для ЭВМ (свид. № 2018612976), стал победителем Всероссийской сибирской олимпиады по математике (ИРНИТУ, 2017 г.) и призёром Региональной олимпиады по программированию (ИРНИТУ, 2018 г., 2 место), в составе команды университета одержал победу на ВСО ""Иностранный язык и технологии будущего"" (СГАУ им. С.П. Королёва, 2018 г.) и стал дипломантом 3 степени в полуфинале Командной студенческой олимпиады ACM ICPC (АлтГТУ, 2016 г.). Являюсь стипендиатом неоднократным Правительства и Президента РФ. Также с февраля 2016 получаю дополнительное к высшему образование по специальности ""Переводчик в сфере профессиональной коммуникации"" в Институт лингвистики и межкультурной коммуникации ИРНИТУ. C конца 2016 г. являюсь волонтёром в ООО ""Полюс-НТ"", где занимаюсь разработкой и поддержкой программного обеспечения в рамках трека ""Интеллектуальные энергетические системы"" Олимпиады НТИ.</p>","Компания «Полюс-НТ» является ведущим разработчиком образовательных продуктов и программ для научно-технического творчества детей и молодежи. Область деятельности: современное естествознание и нанотехнологии; интеллектуальная энергетика и технологии беспроводной связи. Сотрудники компании не только придумывают и разрабатывает новые решения и проводят мероприятия, но поддерживают образовательный процесс как в своем структурном подразделении (ЦМИТ «STEM-Байкал»), так и в организациях клиентов. Новое направление деятельности компании с 2017 года – интеллектуальные настольные игры. Компания создана в 2013 году, ОКВЭД: научные исследования и разработки.","Студент Института высоких технологий ИРНИТУ, волонтер ЦМИТ ""STEM-Байкал"""""
Угорская Яна Алексеевна,"<p>магистр по направлению “Прикладной информатики”, тема работы “Дополненная реальность в развитии музейного пространства), программист компании “Софтмедиалайн”), соавтор серии публикаций по дополненной реальности, лектор по теме “Реальность: реальная и виртуальная” городских общественных лекториев.</p>","1. Компания «Полюс-НТ» является ведущим разработчиком образовательных продуктов и программ для научно-технического творчества детей и молодежи. Область деятельности: современное естествознание и нанотехнологии; интеллектуальная энергетика и технологии беспроводной связи. Сотрудники компании не только придумывают и разрабатывает новые решения и проводят мероприятия, но поддерживают образовательный процесс как в своем структурном подразделении (ЦМИТ «STEM-Байкал»), так и в организациях клиентов. Новое направление деятельности компании с 2017 года – интеллектуальные настольные игры. Компания создана в 2013 году, ОКВЭД: научные исследования и разработки. Официальный сайт: http://polyus-nt.ru

2. Ирку́тский госуда́рственный университе́т — высшее учебное заведение города Иркутска, старейший университет Восточной Сибири. ИГУ известен своими фундаментальными исследованиями, в том числе, в области экологии (в регионе находится озеро Байкал). С 1997 года ИГУ имеет свой официальный сайт: http://isu.ru. В октябре 2017 года ВУЗ успешно прошел государственную аттестацию и аккредитацию. В настоящий момент в составе ИГУ работают 7 диссертационных советов и 8 крупных научных подразделений (НОЦ Байкал, Центр новых информационных технологий (ЦНИТ), Астрономическая обсерватория, Межрегиональный институт общественных наук (МИОН), Ботанический сад, Научно-информационный центр изучения Монголии (НИЦИМо), Научно-исследовательский институт прикладной физики (НИИПФ), Научно-исследовательский институт биологии (НИИБ) и др.). Иркутский государственный университет активно сотрудничает с Монгольским университетом, Савойским университетом (Франция) и мн. др. зарубежными университетами и научно-исследовательскими организациями.

В октябре 2018 года Иркутский государственный университет отметит свое 100 летие.","Методист кафедры естественно-научных дисциплин ФГБОУ ВПО ИГУ; эксперт ЦМИТ  ""STEM-Байкал"""""
Стрекалев Вячеслав Олегович,"<p>Магистр по направлению “Корпоративные информационные системы”, преподаватель, основатель проекта FindGet – система лояльности в формате игры с механикой построенной на основе дополненной реальности и использования окружающей среды; проекта abchi.ru – образовательная</p>
<p>среда; проекта InnoPot – система автоматизации выращивания. Разработчик образовательных наборов, построенных на основе микроконтроллеров. Разработчик социальной криптовалюты.</p>","1. Компания «Полюс-НТ» является ведущим разработчиком образовательных продуктов и программ для научно-технического творчества детей и молодежи. Область деятельности: современное естествознание и нанотехнологии; интеллектуальная энергетика и технологии беспроводной связи. Сотрудники компании не только придумывают и разрабатывает новые решения и проводят мероприятия, но поддерживают образовательный процесс как в своем структурном подразделении (ЦМИТ «STEM-Байкал»), так и в организациях клиентов. Новое направление деятельности компании с 2017 года – интеллектуальные настольные игры. Компания создана в 2013 году, ОКВЭД: научные исследования и разработки. Официальный сайт: http://polyus-nt.ru

2. Ирку́тский госуда́рственный университе́т — высшее учебное заведение города Иркутска, старейший университет Восточной Сибири. ИГУ известен своими фундаментальными исследованиями, в том числе, в области экологии (в регионе находится озеро Байкал). С 1997 года ИГУ имеет свой официальный сайт: http://isu.ru. В октябре 2017 года ВУЗ успешно прошел государственную аттестацию и аккредитацию. В настоящий момент в составе ИГУ работают 7 диссертационных советов и 8 крупных научных подразделений (НОЦ Байкал, Центр новых информационных технологий (ЦНИТ), Астрономическая обсерватория, Межрегиональный институт общественных наук (МИОН), Ботанический сад, Научно-информационный центр изучения Монголии (НИЦИМо), Научно-исследовательский институт прикладной физики (НИИПФ), Научно-исследовательский институт биологии (НИИБ) и др.). Иркутский государственный университет активно сотрудничает с Монгольским университетом, Савойским университетом (Франция) и мн. др. зарубежными университетами и научно-исследовательскими организациями.

В октябре 2018 года Иркутский государственный университет отметит свое 100 летие.","Преподаватель ГПБУ ИАТ;  преподаватель, основатель проекта FindGet, InnoPot, abchi.ru; эксперт  ЦМИТ  ""STEM-Байкал"","
Сурина Вера Константиновна,"<p>Сотрудник отдела по связям с общественностью Московского государственного образовательного комплекса.</p>
<p>Окончила Школу журналистики Интерньюс</p>
<p>Окончила курсы «Специалист по SMM» и «Интернете-маркетинг» в Академии Интернетрезерва Виктории Вирты, в данный момент прохожу обучение по курсу для преподавателей по интернет-маркетингу.</p>
<p>Корневой эксперт компетенции «Интернет-маркетинг» по стандартам WorldSkills</p>","ГБПОУ МГОК является образовательной организацией, осуществляющей обучение по стандартам основного, среднего и профессионального образования. Учредитель: Департамент образования города Москвы.","Педагог-организатор ГБПОУ ""Московский государственный образовательный комплекс"""""
Асланов Роман Эдвинович,"Образование:	
2007 - 2010, Федеральное государственное образовательное учреждение среднего профессионального образования «Московский технический колледж», г. Москва, специальность: «Программное обеспечение вычислительной техники и автоматизированных систем»
2010 - 2015, Национальный исследовательский ядерный университет «МИФИ» г. Москва, кафедра: «Компьютерные системы и технологии» специальность: «Вычислительные машины, комплексы, системы и сети»
С 2015, Национальный исследовательский ядерный университет «МИФИ» г. Москва, кафедра: «Финансового мониторинга», аспирант 4 курса
Преподаватель высшей квалификационной категории (присвоена в 2017 г.)
Преподаватель дополнительного образования 1 квалификационной категории (присвоена в 28.03.2017 г.)
Стаж работы преподавателем 8 лет.
Главный региональный эксперт WorldSkills Russia г. Москва компетенции: «Разработка виртуальной и дополненной реальности (VR/AR)»
Профессиональное переподготовка:
2015 г. Государственное бюджетное профессиональное образовательное учреждение города Москвы «Первый Московский Образовательный Комплекс» (переподготовка) по программе дополнительного профессионального образования: «Актуальные вопросы педагогики и психологии (Организация и ведение педагогической деятельности в профессиональных образовательных организациях)» в объеме 255 часов. 
7 курсов повышения квалификации на 72 часа по ИКТ направлению.
Грамота от Правительства Москвы Департамента образования города Москвы за добросовестную результативную работу и значительный вклад в подготовку квалифицированных специалистов для учреждений и организаций города Москвы. 2016 г.
Мастер спорта России по боксу.
","Департамент образования города Москвы  Южный административный округ Государственное бюджетное профессиональное образовательное учреждение города Москвы ""Московский колледж управления, гостиничного бизнеса и информационных технологий ""Царицыно""","Главный региональный эксперт WorldSkills Russia г. Москва компетенции: «Разработка виртуальной и дополненной реальности (VR/AR)», Преподаватель высшей квалификационной категории"""
Рунасов Кирилл Андреевич,,"Департамент образования города Москвы Южный административный округ Государственное бюджетное профессиональное образовательное учреждение города Москвы ""Московский колледж управления, гостиничного бизнеса и информационных технологий ""Царицыно""","лаборант ГБПОУ Колледж ""Царицыно"""""
Вейкум Артур Джурабаевич,,"Департамент образования города Москвы  Южный административный округ Государственное бюджетное профессиональное образовательное учреждение города Москвы ""Московский колледж управления, гостиничного бизнеса и информационных технологий ""Царицыно""","лаборант ГБПОУ Колледж ""Царицыно"""""
Петров Евгений Евгеньевич,"2004-2008 Инженер-конструктор, 2008-2014 Инженер технической поддержки программных продуктов для проектирования в сфере машиностроения, 2014-по наст. время эксперт эксперт WorldSkills Russia (в разное время Национальный эксперт, Международный эксперт) компетенции Инженерный дизайн CAD (САПР), преподаватель.",,эксперт WorldSkills Russia
Тюхта Антон Владимирович,,,Преподаватель кафедры вычислительной техники и информационных технологий ФГБОУ ВО «Орловский государственный университет имени И.С. Тургенева»
Соболев Егор Юрьевич,,,студент факультета СПО ФГБОУ ВО «Орловский государственный университет имени И.С. Тургенева»
Лапидус Леонид Михайлович,"<p>Окончил ЮурГУ, специальность системный инженер.</p>
<p>Работал в IBM, холдинге DigiPro, основатель и директор digital-компании Sole IT.</p>
<p>Преподаёт курсы в международном ВУЗе, управляет стартап-проектами, помогает заказчикам создавать и развивать цифровые продукты</p>","Digital-компания, основана в 2002 году как разработчик системного ПО, поставщик ПО для КБ Макеева, Высшего военного танкового училища, в 2007 переориентирована на веб-разработку, в 2014 перешла к работе над сложными корпоративными цифровыми продуктами.",Основатель и директор digital-компании Sole IT.
Агарков Олег Владимирович,"<p>С 2012 года Генеральный директор ООО Уфага</p>
<p>В 2014-2015 преподаватель Уфимского колледжа статистики, информатики и вычислительной техники</p>
<p>С 2015 года Генеральный директор ООО ""Уфага Трейд""</p>
<p>С 2015 года Руководитель специализированного центра компетенций Уфимского колледжа статистики, информатики и вычислительной техники</p>
<p>С 2016 года Заместитель международного эксперта 17 Веб-дизайн и разработка WorldSkills Russia</p>
<p>С 2017 года Методист отделения информатики Уфимского колледжа статистики, информатики и вычислительной техники</p>
<p>С 2018 года Менеджер компетенции 17 Веб-дизайн и разработка WorldSkills Russia</p>
<p>Прошел путь от участника чемпионата до менеджера компетенции в движении «Молодые профессионалы» (WorldSkills Russia)</p>
<p>Разработал первое Web-приложение в возрасте 13 лет. На данный момент принял участие в разработке более 200 проектов.</p>","Уфимский колледж статистики, информатики и вычислительной техники – образовательная организация с богатой историей. Колледж был основан 15 октября 1932 года и назывался первоначально Уфимским планово-экономическим техникумом.  Исторически сложившийся профиль колледжа – подготовка экономистов. В 1942 году он был переименован в Уфимский статистический техникум, в 1967 году – в техникум механизации и учета, в 1990 году – в техникум информатики и вычислительной техники, а в 1992 – в Уфимский колледж статистики, информатики и вычислительной техники. Так, изменение названия фиксировало историческое развитие учебного заведения. За восемьдесят пять лет пройден путь от планово-экономического техникума Госплана РСФСР до крупного учебно-производственного, методического, научно-исследовательского и информационного центра, ведущего подготовку по 10 востребованным региональной экономикой специальностям.","Методист отделения ГБПОУ Уфимский колледж статистики, информатики и вычислительной техники"
Грушевский Юрий Викторович,"•	2008 гг. - окончил с отличием Красноярский государственный педагогический университет им. В.П. Астафьева
•	2008 – 2014 – учитель информатики в МКОУ Горной СОШ Ачинского района Красноярского края
•	2014 – 2016 – заведующий отделом информатизации Центральной районной библиотеки Ачинского района Красноярского края
•	2016 – настоящее время – преподаватель специальных дисциплин в «Томском техникуме информационных технологий»
","Областное государственное бюджетное профессиональное образовательное учреждение «Томский техникум информационных технологий» - одно из старейших в Томске учебных заведений среднего профессионального образования. Техникум осуществляет подготовку специалистов по пяти специальностям среднего профессионального образования базового уровня и по двум рабочим профессиям. Среди них «Сетевое и системное администрирование», «Информационные системы и программирование», «Обеспечение информационной безопасности автоматизированных систем», «Монтажник радиоэлектронной аппаратуры и приборов». Среди студентов техникума есть призеры и участники национального финала «Молодые профессионалы» (WorldSkillsRussia).","Преподаватель специальных дисциплин в ""Томском техникуме информационных технологий"""""
Климович Сергей Владимирович,"Опыт преподавания в области информационных технологий 12 лет. Начинал с мастера производственного обучения. Постепенно повышал квалификацию по Сетевому и системному администрированию, в котором стал Technical Coordinator Apple, Инструктором Cisco и экспертом по одноименной компетенции. Параллельно реализовывал Web-проекты, и поступил на специальность ""Информатика и вычислительная техника Технологии разработки программного обеспечения"". В данный момент осваиваю программирование для Apple-платформ.","Колледж предпринимательства №11 – это уникальное государственное образовательное учреждение. С одной стороны, Колледж предпринимательства №11 имеет долгую успешную образовательную историю, которая началась в 1996 году. С другой стороны, Колледж предпринимательства №11 – это полностью современное учебное заведение, которое не случайно является единственным в Москве местом по подготовке уникальных специалистов: огранщиков алмазов в бриллианты, технологов алмазообрабатывающей отрасли, медицинских оптиков и медицинских техников, а также специалистов среднего звена для кино и ТВ-индустрии (фотографов, видеооператоров, звукорежиссеров).  
С 2014 года Колледж является Региональным координационным центром WorldSkills Russia по городу Москва. Особенное внимание уделяется подготовке студентов, обучающихся по направлению «Информационные технологии», к участию в чемпионате WorldSkills Russia и WorldSkills мирового уровня по компетенциям «IT Software Solution for business/ИТ-программные решения для бизнеса».
","Ведущий системный администратор, ГАПОУ Колледж предпринимательства №11"""
Ким Анастасия Станиславовна,<p>Участница чемпионата мира по 3д моделированию для компьютерных игр в Абу-Даби 2017. Топ 5 3д специалистов в мире. Эксперт чемпионатов в рамках World Skills</p>,,"Эксперт чемпионатов в рамках World Skills"""
Спасенов Алексей Юрьевич,"<p><br>окончил МГТУ им. Н.Э. Баумана по специальность САПР, работает программистом-исследователем в департаменте Рекламных технологий в группе Предиктивной аналитики&nbsp;Mail.ru Group<br><br></p>","Mail.Ru Group — российская технологическая компания. Среди её активов социальные сети «ВКонтакте» и «Одноклассники», портфолио онлайн-игр, куда входят такие проекты как Warface, Armored Warfare, Skyforge, Аллоды Онлайн и Perfect World, картографический сервис MAPS.ME, мессенджер ICQ, мобильный сервис бесплатных объявлений «Юла», райдшеринговый сервис BeepCar и платформа для доставки еды Delivery Club.
В мае 2017 года Forbes поставил Mail.Ru Group на 97 место в рейтинге ста инновационных компаний мира.
",Программист-исследователь группы Предиктивной аналитики  Mail.ru Group
Марданов Сергей Александрович,"<p>Закончил НИТУ МИСиС. В 2012 году стал выпускником Открытого университета Сколково. В 2014 году прошел профессиональную переподготовку по направлению «R&D менеджмент» в МИМ ЛИНК. В 2016 году прошел стажерскую программу по технологическому трансферу в LeHigh University в Пенсильвании, США. </p>
<p>С 2010 по 2014 год работал в НИТУ МИСиС, где руководил молодежными проектами в области науки и инноваций, а также основал в университете Центр развития молодежного предпринимательства.</p>
<p>В 2014 году перешел в АО «Российская венчурная компания» на позицию менеджера по развитию трансфера технологий, а в 2016 году стал руководителем группы развития университетских экосистем.</p>
<p>С марта 2017 г. является директором по связям с университетами в Mail.Ru Group. Отвечает за запуски новых проектов с вузами, школами и иными образовательными учреждениями, а также за иные коммуникации компании в образовательной сфере.</p>
<p>Области интересов: развитие IT-образования, профориентация детей и молодежи; создание инновационных экосистем университетов, управление в сфере исследований и разработок, трансфер технологий и управление интеллектуальной собственностью, развитие научно-технического творчества молодежи, инновационного предпринимательства.</p>
<p>Женат, увлекается активными видами спорта.</p>","Mail.Ru Group — российская технологическая компания. Среди её активов социальные сети «ВКонтакте» и «Одноклассники», портфолио онлайн-игр, куда входят такие проекты как Warface, Armored Warfare, Skyforge, Аллоды Онлайн и Perfect World, картографический сервис MAPS.ME, мессенджер ICQ, мобильный сервис бесплатных объявлений «Юла», райдшеринговый сервис BeepCar и платформа для доставки еды Delivery Club.
В мае 2017 года Forbes поставил Mail.Ru Group на 97 место в рейтинге ста инновационных компаний мира.

",Директор по связям с университетами в Mail.Ru Group
Французов Павел Анатольевич,"<p>Французов Павел Анатольевич, кандидат физико-математических наук. Высшее образование: физический факультет НГУ, 1987 г. 1987-1995 Стажер, аспирант, научный сотрудник институтов Академии наук. 1995-2007 Исследователь в ведущих мировых научных центрах: Институт Вайцмана (Израиль), Национальный институт материалов (Япония), Калифорнийский технологический институт (США), Калифорнийский университет (США). 2007-2010  Профессор университета Нотр-Дам (США). 2013- 2016 Руководитель  Целевой инженерной межвузовской магистратуры Новосибирской области. 2016-2018 Заместитель директора по научной работе Филиала МГУ им. М.В.Ломоносова в Севастополе, доцент кафедры Физики. Исследователь, автор 40 научных работ, опубликованных в журналах Nature Physics, Physical Review Letters, Nano Letters, Proceedings of the National Academy of Sciences of USA, Physical Review, Advances in Chemical Physics, Journal of Chemical Physics, Chemical Physics Letters, Chemical Physics и др. По данным сайта Международного института информации, статьи Павла Французова цитировались  1977 раз, индекс Хирша равен 22.</p>",,
Алексей Гришин,"<p>Организатор всероссийских и международных соревнований по кибербезопасности в формате CTF. Имеет большой практический опыт мониторинга и анализа производительности вычислительных кластеров различного назначения. Руководитель отдела информационной безопасности ЗАО «Аладдин Р.Д.». Ведущий преподаватель школы HackerU.</p>
<p>Образование: Самарский государственный аэрокосмический университет им. академика С.П.Королева (национальный исследовательский университет), кандидат технических наук.</p>
<p>Сертификаты:</p>
<p>CCNA – 2014 (Cisco Certified Network Associated)</p>
<p>D-Link Certificate (Технологии коммутации современных сетей)</p>","HackerU – израильская высшая школа информационных технологий и безопасности, один из ведущих центров по подготовке специалистов в индустрии Hi-Tech.
Школа HackerU была учреждена 18 лет назад в Израиле и с тех пор превратилась в ведущий центр обучения, консультирования и трудоустройства в сфере информационных технологий и кибербезопасности.
Каждый год выпускниками школы становятся более 4000 специалистов в различных сферах информационных технологий. За годы своего существования школа выпустила более 70000 специалистов, разработала и внедрила 248 курсов, преподаваемых как очно, так и дистанционно, а также заключила партнерские соглашения с около 1400 международных компаний.
Образовательные центры HackerU действуют в 6 странах мира, в том числе и в России (Москва). Эксперты HackerU являются консультантами крупнейших компаний мира, среди которых Microsoft, Cisco, Check Point, Google и Autodesk. Опыт и экспертиза HackerU используются важнейшими государственными организациями, в том числе Советом безопасности Европейского Союза.
 
Миссия HackerU – распространять знания и насыщать рынок грамотными специалистами в соответствии с трендами индустрии 4.0.
","Алексей Гришин, Организатор всероссийских и международных соревнований по кибербезопасности в формате CTF. Имеет большой практический опыт мониторинга и анализа производительности вычислительных кластеров различного назначения. Руководитель отдела информационной безопасности ЗАО «Аладдин Р.Д.». Ведущий преподаватель школы HackerU. Образование: Самарский государственный аэрокосмический университет им. академика С.П.Королева (национальный исследовательский университет), кандидат технических наук. Сертификаты: CCNA – 2014 (Cisco Certified Network Associated) D-Link Certificate (Технологии коммутации современных сетей)"""
